employee_id,rok,true_sentiment,is_sarcastic,is_wrong_person
95,2025,pozitivní,False,False
15,2025,smíšené,False,False
30,2025,pozitivní,False,False
158,2025,smíšené,False,False
128,2024,negativní,True,False
115,2023,pozitivní,False,False
69,2025,smíšené,False,True
170,2024,smíšené,False,False
174,2025,negativní,False,False
45,2024,pozitivní,False,False
66,2024,pozitivní,False,False
182,2025,smíšené,False,False
165,2023,smíšené,False,False
78,2023,smíšené,False,False
186,2024,pozitivní,False,False
177,2023,pozitivní,False,False
56,2025,smíšené,False,False
152,2023,negativní,False,False
82,2023,pozitivní,False,False
68,2025,pozitivní,False,False
124,2024,pozitivní,False,False
16,2024,pozitivní,False,False
148,2023,smíšené,False,False
93,2025,smíšené,False,False
65,2023,pozitivní,False,False
60,2024,smíšené,False,False
84,2023,pozitivní,False,False
67,2023,pozitivní,False,False
125,2024,negativní,False,False
132,2023,smíšené,False,False
9,2023,pozitivní,False,False
18,2023,smíšené,False,False
308,2024,smíšené,False,False
267,2024,smíšené,False,False
231,2023,pozitivní,False,False
319,2025,negativní,False,False
242,2024,negativní,False,False
212,2023,smíšené,False,False
281,2025,pozitivní,False,False
269,2024,smíšené,False,False
304,2024,pozitivní,False,False
309,2025,smíšené,False,False
313,2023,smíšené,False,False
256,2024,pozitivní,False,False
266,2025,smíšené,False,True
219,2024,smíšené,False,False
332,2024,smíšené,False,False
278,2025,smíšené,False,False
211,2024,pozitivní,False,False
227,2023,pozitivní,False,False
327,2025,smíšené,False,False
310,2025,pozitivní,False,False
236,2025,smíšené,False,False
318,2023,smíšené,False,False
359,2024,pozitivní,False,False
382,2025,pozitivní,False,False
496,2025,pozitivní,False,False
451,2024,smíšené,False,False
488,2025,smíšené,False,False
355,2025,smíšené,False,False
364,2025,pozitivní,False,False
408,2025,smíšené,False,False
457,2025,smíšené,False,False
438,2023,pozitivní,False,False
437,2025,smíšené,False,False
503,2025,smíšené,False,False
409,2023,negativní,False,False
515,2025,smíšené,False,False
385,2024,negativní,False,False
356,2024,pozitivní,False,False
391,2025,smíšené,False,False
375,2023,smíšené,False,True
422,2024,pozitivní,False,False
396,2024,negativní,False,False
505,2023,smíšené,False,False
464,2023,pozitivní,False,False
486,2025,pozitivní,False,False
370,2025,pozitivní,False,False
349,2024,smíšené,False,False
466,2024,negativní,False,False
400,2024,negativní,False,False
358,2024,smíšené,False,False
510,2023,negativní,True,False
608,2025,pozitivní,False,False
578,2025,smíšené,False,False
595,2023,negativní,True,False
570,2024,pozitivní,False,False
569,2025,smíšené,False,False
564,2025,smíšené,False,False
547,2023,smíšené,False,False
605,2023,negativní,False,False
535,2023,pozitivní,False,False
525,2025,smíšené,False,False
543,2023,pozitivní,False,False
555,2024,smíšené,False,False
598,2023,smíšené,False,False
558,2025,smíšené,False,False
615,2023,pozitivní,False,False
529,2025,smíšené,False,False
733,2025,negativní,False,False
692,2025,pozitivní,False,False
656,2024,pozitivní,False,False
744,2023,pozitivní,False,False
667,2023,smíšené,False,False
637,2025,negativní,False,False
706,2024,smíšené,False,False
694,2024,pozitivní,False,False
729,2025,pozitivní,False,False
734,2024,smíšené,False,False
738,2024,negativní,False,False
681,2023,pozitivní,False,False
691,2024,smíšené,False,False
644,2024,smíšené,False,False
757,2024,smíšené,False,False
703,2025,smíšené,False,False
636,2024,pozitivní,False,False
652,2024,smíšené,False,False
752,2023,pozitivní,False,False
735,2025,pozitivní,False,False
661,2023,negativní,False,False
743,2023,pozitivní,False,False
907,2025,pozitivní,False,False
771,2025,pozitivní,False,False
862,2025,smíšené,False,False
825,2025,smíšené,False,False
877,2023,negativní,False,False
946,2024,pozitivní,False,False
962,2025,pozitivní,False,False
949,2023,smíšené,False,False
774,2024,smíšené,False,False
869,2025,smíšené,False,False
965,2024,pozitivní,False,False
981,2023,negativní,False,False
1001,2023,pozitivní,False,False
1005,2024,negativní,False,False
832,2025,negativní,False,False
989,2023,negativní,False,False
959,2024,pozitivní,False,False
780,2023,pozitivní,False,False
942,2025,pozitivní,False,False
789,2025,pozitivní,False,False
1012,2024,pozitivní,False,False
784,2023,smíšené,False,False
879,2024,pozitivní,False,False
833,2023,smíšené,False,False
941,2024,negativní,True,False
810,2025,negativní,False,False
820,2025,smíšené,False,False
775,2025,pozitivní,False,False
795,2024,pozitivní,False,False
885,2025,pozitivní,False,False
966,2024,pozitivní,False,False
798,2023,smíšené,False,False
906,2023,pozitivní,False,False
984,2024,negativní,False,False
790,2025,pozitivní,False,False
876,2024,negativní,True,False
783,2023,pozitivní,False,False
961,2025,smíšené,False,False
945,2025,smíšené,False,False
924,2024,smíšené,False,False
